City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Cayenne,4.9333,-52.3333,86.04,74,0,5.99,GF,2021-07-28 18:26:36
125,Pacific Grove,36.6177,-121.9166,87.8,83,20,8.01,US,2021-07-28 18:26:36
126,Vila Franca Do Campo,37.7167,-25.4333,73.81,80,59,7.81,PT,2021-07-28 18:26:37
127,Zhigansk,66.7697,123.3711,54.25,48,3,6.78,RU,2021-07-28 18:26:37
128,Cabo San Lucas,22.8909,-109.9124,96.51,55,1,11.5,MX,2021-07-28 18:25:07
129,Ancud,-41.8697,-73.8203,45.93,71,10,2.73,CL,2021-07-28 18:24:09
130,Mount Isa,-20.7333,139.5,55.17,58,6,2.3,AU,2021-07-28 18:26:38
131,Obertyn,48.7003,25.1701,77.77,65,85,5.82,UA,2021-07-28 18:26:38
132,Mwanza,-2.5167,32.9,75.47,47,31,2.68,TZ,2021-07-28 18:26:39
133,Raudeberg,61.9875,5.1352,65.8,96,100,3.83,NO,2021-07-28 18:24:04
134,Gat,31.61,34.7642,83.08,100,0,4.72,IL,2021-07-28 18:26:39
135,Ca Mau,9.1769,105.15,79.3,84,75,6.96,VN,2021-07-28 18:26:40
136,Trzebiatow,54.0615,15.2648,74.86,67,100,6.35,PL,2021-07-28 18:26:40
137,Loveland,40.3978,-105.075,98.01,33,1,1.01,US,2021-07-28 18:25:02
138,Phek,25.6667,94.5,59.97,99,72,2.82,IN,2021-07-28 18:26:41
139,Bethel,41.3712,-73.414,81.19,55,40,1.01,US,2021-07-28 18:21:41
140,Bilma,18.6853,12.9164,98.22,27,100,10.78,NE,2021-07-28 18:23:47
141,Talnakh,69.4865,88.3972,56.35,85,100,3.33,RU,2021-07-28 18:26:42
142,Lazaro Cardenas,17.9583,-102.2,86.27,67,39,3.96,MX,2021-07-28 18:26:42
143,Dehloran,32.6941,47.2679,100.0,9,0,15.35,IR,2021-07-28 18:26:43
144,Seoul,37.5683,126.9778,80.2,89,40,1.14,KR,2021-07-28 18:26:43
145,Ahuimanu,21.4447,-157.8378,82.11,73,90,11.5,US,2021-07-28 18:26:43
146,Crawfordsville,40.0411,-86.8745,88.95,71,37,7.18,US,2021-07-28 18:26:44
147,Naze,28.3667,129.4833,77.29,90,29,8.03,JP,2021-07-28 18:26:44
148,Asau,46.4333,26.4,73.76,97,81,6.69,RO,2021-07-28 18:26:45
149,Najran,17.4924,44.1277,92.05,38,91,8.5,SA,2021-07-28 18:24:42
150,Mount Gambier,-37.8333,140.7667,44.51,100,75,8.05,AU,2021-07-28 18:26:45
151,Mahon,39.8885,4.2658,81.16,54,0,12.66,ES,2021-07-28 18:26:46
152,Mahebourg,-20.4081,57.7,70.09,83,75,20.71,MU,2021-07-28 18:26:46
153,Adrar,20.5022,-10.0711,108.1,10,71,9.04,MR,2021-07-28 18:26:47
154,Avarua,-21.2078,-159.775,68.05,100,75,1.14,CK,2021-07-28 18:26:47
155,Chuy,-33.6971,-53.4616,46.47,71,90,18.52,UY,2021-07-28 18:26:48
156,Yumen,40.2833,97.2,79.74,19,0,13.15,CN,2021-07-28 18:26:48
157,Aklavik,68.2191,-135.0107,64.4,72,75,4.61,CA,2021-07-28 18:26:49
158,Chittaurgarh,24.8833,74.6333,77.09,85,100,14.74,IN,2021-07-28 18:26:49
159,Fort Nelson,58.8053,-122.7002,71.19,46,20,10.36,CA,2021-07-28 18:26:50
160,Rawson,-43.3002,-65.1023,53.08,37,23,12.59,AR,2021-07-28 18:26:50
161,Provideniya,64.3833,-173.3,47.03,99,100,8.19,RU,2021-07-28 18:26:51
162,Maragogi,-9.0122,-35.2225,78.35,68,9,6.71,BR,2021-07-28 18:26:51
163,Matara,5.9485,80.5353,78.76,89,48,10.78,LK,2021-07-28 18:26:51
164,Muravlenko,63.7898,74.523,51.26,68,38,7.81,RU,2021-07-28 18:26:52
165,Dunedin,-45.8742,170.5036,48.79,65,47,11.01,NZ,2021-07-28 18:26:52
166,Kruisfontein,-34.0033,24.7314,54.88,78,100,4.83,ZA,2021-07-28 18:22:17
167,Derzhavinsk,51.1,66.3167,63.37,69,70,15.03,KZ,2021-07-28 18:26:53
168,Guerrero Negro,27.9769,-114.0611,79.83,57,0,12.5,MX,2021-07-28 18:26:53
