City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
137,Makakilo City,US,75.52,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
138,Tefe,BR,84.31,few clouds,-3.3542,-64.7114,Aracati Hotel
144,La Ronge,CA,76.44,broken clouds,55.1001,-105.2842,Northland Motor Hotel
146,Hamada,JP,79.0,scattered clouds,34.8833,132.0833,Shimane Hamada Washington Hotel Plaza
147,Kavieng,PG,82.38,few clouds,-2.5744,150.7967,Nusa Island Retreat
149,Lazaro Cardenas,MX,84.36,few clouds,17.9583,-102.2,quinta antigua
154,Sinop,TR,75.63,clear sky,41.7711,34.8709,
155,Oum Hadjer,TD,86.5,overcast clouds,13.2954,19.6966,
157,Nhamunda,BR,88.27,scattered clouds,-2.1861,-56.7131,Pousada Da Praia
158,Gillette,US,83.32,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
160,Bengkulu,ID,75.6,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
163,Faanui,PF,79.11,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
164,Oistins,BB,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
165,Bokaro,IN,83.19,moderate rain,23.7833,85.9667,Bineshwar Hotel
166,Deqing,CN,82.36,clear sky,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
168,Mumford,GH,79.29,broken clouds,5.2618,-0.759,Spanish Villa
169,Sudak,UA,81.88,clear sky,44.85,34.9667,Solari Beach
173,Bac Lieu,VN,80.37,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
177,Ambon,ID,79.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
178,Kapaa,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
181,Qingdao,CN,76.6,light rain,36.0986,120.3719,东晖国际大酒店餐厅
183,Kahului,US,76.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
184,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
185,Muros,ES,76.68,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
187,Mazatlan,MX,86.02,broken clouds,23.2167,-106.4167,Hotel Playamar
188,Korla,CN,84.02,overcast clouds,41.7597,86.1469,Gulisitan Hotel
189,Yanzhou,CN,75.0,clear sky,35.5528,116.8286,Yuegong Commercial Hotel
193,Japura,ID,75.38,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
194,Kamyaran,IR,84.15,scattered clouds,34.7956,46.9355,Mobile Adab موبایل ادب
197,Saint George,US,88.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
198,Praia Da Vitoria,PT,78.76,broken clouds,38.7333,-27.0667,Hotel Branco I
200,Brokopondo,SR,81.16,overcast clouds,4.75,-55.1667,Matu Island
201,Marsh Harbour,BS,84.85,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
203,Hamilton,US,77.36,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
205,Yashan,CN,79.34,overcast clouds,22.1975,109.9419,
206,Lata,PT,84.04,broken clouds,40.1629,-8.3327,Casa Maquia
210,Barra Dos Coqueiros,BR,82.42,scattered clouds,-10.9089,-37.0386,Jangadeiro
211,Itaituba,BR,78.96,scattered clouds,-4.2761,-55.9836,Hotel Campos
