City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,Roald,62.5833,6.1333,few clouds,60.85,58,20,16.11,NO,2021-08-02 16:17:12
172,Vao,-22.6667,167.4833,few clouds,65.95,66,11,7.7,NC,2021-08-02 16:09:27
173,Bac Lieu,9.285,105.7244,overcast clouds,80.37,83,99,9.13,VN,2021-08-02 16:17:13
174,Cidreira,-30.1811,-50.2056,few clouds,60.73,68,24,9.22,BR,2021-08-02 16:14:14
175,Barrow,71.2906,-156.7887,overcast clouds,44.62,83,90,10.36,US,2021-08-02 16:13:57
176,Port Elizabeth,-33.918,25.5701,overcast clouds,58.1,80,92,13.67,ZA,2021-08-02 16:13:55
177,Ambon,-3.6954,128.1814,scattered clouds,79.2,86,44,7.11,ID,2021-08-02 16:15:50
178,Kapaa,22.0752,-159.319,overcast clouds,79.12,75,90,5.01,US,2021-08-02 16:12:53
179,Lavrentiya,65.5833,-171.0,moderate rain,42.75,97,100,11.21,RU,2021-08-02 16:14:07
180,Sao Miguel Do Araguaia,-13.275,-50.1628,broken clouds,91.36,22,76,7.81,BR,2021-08-02 16:17:14
181,Qingdao,36.0986,120.3719,light rain,76.6,88,4,2.24,CN,2021-08-02 16:17:14
182,Pokhara,28.2333,83.9833,overcast clouds,73.54,94,99,2.68,NP,2021-08-02 16:17:15
183,Kahului,20.8947,-156.47,scattered clouds,76.84,82,40,16.11,US,2021-08-02 16:13:51
184,Coahuayana,18.7333,-103.6833,clear sky,87.28,64,10,2.57,MX,2021-08-02 16:11:49
185,Muros,42.7762,-9.0603,scattered clouds,76.68,52,45,15.21,ES,2021-08-02 16:17:15
186,Provideniya,64.3833,-173.3,moderate rain,44.19,97,100,13.06,RU,2021-08-02 16:12:50
187,Mazatlan,23.2167,-106.4167,broken clouds,86.02,82,75,1.01,MX,2021-08-02 16:17:16
188,Korla,41.7597,86.1469,overcast clouds,84.02,17,100,5.26,CN,2021-08-02 16:17:16
189,Yanzhou,35.5528,116.8286,clear sky,75.0,83,2,5.21,CN,2021-08-02 16:17:17
190,Port Hedland,-20.3167,118.5667,clear sky,62.65,22,2,11.5,AU,2021-08-02 16:15:09
191,Tuatapere,-46.1333,167.6833,overcast clouds,44.82,83,100,6.51,NZ,2021-08-02 16:12:45
192,Oskemen,49.9565,82.6119,clear sky,64.36,77,0,0.0,KZ,2021-08-02 16:17:17
193,Japura,-0.3167,102.35,overcast clouds,75.38,94,85,2.82,ID,2021-08-02 16:17:17
194,Kamyaran,34.7956,46.9355,scattered clouds,84.15,24,29,5.84,IR,2021-08-02 16:17:18
195,Bunia,1.5667,30.25,light rain,68.23,76,84,4.47,CD,2021-08-02 16:17:18
196,Dunedin,-45.8742,170.5036,moderate rain,45.81,83,100,21.99,NZ,2021-08-02 16:10:58
197,Saint George,37.1041,-113.5841,clear sky,88.27,40,1,1.99,US,2021-08-02 16:10:59
198,Praia Da Vitoria,38.7333,-27.0667,broken clouds,78.76,81,57,9.31,PT,2021-08-02 16:11:39
199,Moranbah,-22.0016,148.0466,clear sky,58.35,63,3,6.26,AU,2021-08-02 16:17:19
200,Brokopondo,4.75,-55.1667,overcast clouds,81.16,73,96,3.38,SR,2021-08-02 16:17:19
201,Marsh Harbour,26.5412,-77.0636,overcast clouds,84.85,72,100,10.16,BS,2021-08-02 16:12:05
202,Ilulissat,69.2167,-51.1,broken clouds,60.82,39,75,11.5,GL,2021-08-02 16:14:24
203,Hamilton,39.1834,-84.5333,few clouds,77.36,62,20,1.99,US,2021-08-02 16:12:52
